Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;quality
20;Gisi Schwan;1;1;1;9999;2015-11-20 00:30;7
20;AkrobatSchön;2;2;1;1;2015-11-20 00:31;8
20;Tar a Ri;3;3;2;2;2015-11-20 00:32;18
20;Heisenberg;4;4;3;3;2015-11-20 00:33;3
20;ErwinLottermann;5;4;3;3;2015-11-20 00:34;7
20;Helmuth;6;4;3;3;2015-11-20 00:35;14
20;Titanic;7;4;3;3;2015-11-20 00:36;10
20;Beggaxel;8;4;3;3;2015-11-20 00:37;22
20;Arent;9;3;2;2;2015-11-20 00:38;0
20;Tar a Ri;10;3;2;2;2015-11-20 00:39;18
20;Lisa Baur;11;4;10;10;2015-11-20 00:40;14
20;Jean Flores;12;4;10;10;2015-11-20 00:41;36
20;This Dude;13;4;10;10;2015-11-20 00:42;14
20;mosswood;14;4;10;10;2015-11-20 00:43;10
20;Karin Melkie;15;4;10;10;2015-11-20 00:44;1
20;IMI;16;5;15;15;2015-11-20 00:45;3
20;Peter G.;17;4;10;10;2015-11-20 00:46;10
20;K.Schill;18;5;17;17;2015-11-20 00:47;10
20;ISSO;19;3;2;2;2015-11-20 00:48;1
20;Towanda;20;2;1;1;2015-11-20 00:49;1
20;Dr Werner;21;2;1;1;2015-11-20 00:50;7
20;Albert Pike;22;2;1;1;2015-11-20 00:51;1
20;Egino;23;2;1;1;2015-11-20 00:52;3
20;Merle1234;24;3;23;23;2015-11-20 00:53;10
20;Peter G.;25;4;24;24;2015-11-20 00:54;10
20;Jean Flores;26;3;23;23;2015-11-20 00:55;0
20;SLY;27;2;1;1;2015-11-20 00:56;0
20;RPvsEuro;28;3;27;27;2015-11-20 00:57;1
20;Jan;29;2;1;1;2015-11-20 00:58;0
20;Change Now;30;3;29;29;2015-11-20 00:59;1
20;Change Now;31;1;31;9999;2015-11-20 01:00;14
20;Olli;32;1;32;9999;2015-11-20 01:01;7
20;;33;1;33;9999;2015-11-20 01:02;7
20;Klaho;34;2;33;33;2015-11-20 01:03;1
20;besorgte Bürgeranfrage;35;3;34;34;2015-11-20 01:04;21
20;P3;36;4;35;35;2015-11-20 01:05;3
20;dtm;37;5;36;36;2015-11-20 01:06;1
20;SLY;38;4;35;35;2015-11-20 01:07;7
20;Fast sprachlos;39;4;35;35;2015-11-20 01:08;8
20;der Exorzist !;40;4;35;35;2015-11-20 01:09;3
20;Demokratolügie;41;3;34;34;2015-11-20 01:10;3
20;Carl;42;3;34;34;2015-11-20 01:11;1
20;Helmuth;43;2;33;33;2015-11-20 01:12;0
20;Manni00;44;2;33;33;2015-11-20 01:13;0
20;Helge Zerner;45;2;33;33;2015-11-20 01:14;0
20;volki;46;3;45;45;2015-11-20 01:15;0
20;Opa Zacharias mit Schafskäse;47;2;33;33;2015-11-20 01:16;0
20;Fonte Nova;48;1;48;9999;2015-11-20 01:17;7
20;Cailean;49;2;48;48;2015-11-20 01:18;1
20;Geschichte reloaded;50;2;48;48;2015-11-20 01:19;0
20;xandru;51;3;50;50;2015-11-20 01:20;7
20;P3;52;3;50;50;2015-11-20 01:21;0
20;Jean Flores;53;3;50;50;2015-11-20 01:22;0
20;Pat Riot;54;2;48;48;2015-11-20 01:23;0
20;P3;55;3;54;54;2015-11-20 01:24;3
20;blaubeerbaum;56;2;48;48;2015-11-20 01:25;3
20;wassolldasjetztschonwieder;57;2;48;48;2015-11-20 01:26;3
20;Betty;58;2;48;48;2015-11-20 01:27;-7
20;Deathbringer;59;1;59;9999;2015-11-20 01:28;14
20;Erich Honecker jr.;60;1;60;9999;2015-11-20 01:29;7
20;Kritischer_Geist;61;1;61;9999;2015-11-20 01:30;7
20;Fabio;62;1;62;9999;2015-11-20 01:31;7
20;Thomas Morus;63;1;63;9999;2015-11-20 01:32;7
