Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;quality
8;Felix Wirsch;1;1;1;9999;2015-11-20 00:30;7
8;Tom Tomsen;2;2;1;1;2015-11-20 00:31;0
8;CDU & SPD unwählbar;3;3;2;2;2015-11-20 00:32;1
8;Richtiglieger;4;4;3;3;2015-11-20 00:33;22
8;Charly Autumn;5;5;4;4;2015-11-20 00:34;7
8;Tom Tomsen;6;5;4;4;2015-11-20 00:35;7
8;summer4ever;7;5;4;4;2015-11-20 00:36;0
8;humabuse;8;5;4;4;2015-11-20 00:37;21
8;Moanst;9;5;4;4;2015-11-20 00:38;14
8;Ron;10;5;4;4;2015-11-20 00:39;0
8;Chrismed;11;5;4;4;2015-11-20 00:40;7
8;frederic;12;5;4;4;2015-11-20 00:41;-4
8;Nachdenken über Deutschland;13;4;3;3;2015-11-20 00:42;14
8;Michael M.;14;5;13;13;2015-11-20 00:43;18
8;Waltraud Winter;15;6;14;14;2015-11-20 00:44;29
8;ichsagmal;16;7;15;15;2015-11-20 00:45;10
8;clev.ever;17;7;15;15;2015-11-20 00:46;22
8;verum dicere;18;7;15;15;2015-11-20 00:47;22
8;Steuerzahler;19;5;13;13;2015-11-20 00:48;7
8;verum dicere;20;5;13;13;2015-11-20 00:49;7
8;ja ja;21;2;1;1;2015-11-20 00:50;3
8;Julia_1;22;3;21;21;2015-11-20 00:51;18
8;Klaus Meyer;23;4;22;22;2015-11-20 00:52;1
8;Postman23;24;3;21;21;2015-11-20 00:53;3
8;Herbert Frahm jr.;25;2;1;1;2015-11-20 00:54;16
8;Easyoil11;26;3;25;25;2015-11-20 00:55;8
8;Gaby Peters;27;2;1;1;2015-11-20 00:56;7
8;Gaby Peters;28;2;1;1;2015-11-20 00:57;0
8;Asiatin;29;3;28;28;2015-11-20 00:58;1
8;Yuminae;30;2;1;1;2015-11-20 00:59;0
8;AmericanStillnumberone;31;2;1;1;2015-11-20 01:00;8
8;karlehmann;32;1;32;9999;2015-11-20 01:01;0
8;heiße Luft;33;2;32;32;2015-11-20 01:02;3
8;ichsagmal;34;3;33;33;2015-11-20 01:03;7
