Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;quality
13;Rita Hoffmann;1;1;1;9999;2015-11-20 00:30;7
13;aufwachen;2;2;1;1;2015-11-20 00:31;7
13;Querdenker;3;2;1;1;2015-11-20 00:32;3
13;angemeldet47;4;3;3;3;2015-11-20 00:33;7
13;Felix Wirsch;5;2;1;1;2015-11-20 00:34;8
13;Michael;6;1;6;9999;2015-11-20 00:35;14
13;Herbert Frahm jr.;7;2;6;6;2015-11-20 00:36;0
13;Alfred 5;8;1;8;9999;2015-11-20 00:37;7
13;Au-weia;9;2;8;8;2015-11-20 00:38;0
13;Verinet;10;2;8;8;2015-11-20 00:39;29
13;Querdenker;11;2;8;8;2015-11-20 00:40;3
13;geflasht1;12;1;12;9999;2015-11-20 00:41;14
13;Postman23;13;2;12;12;2015-11-20 00:42;3
13;Nilotak;14;3;13;13;2015-11-20 00:43;10
13;SatireLive;15;2;12;12;2015-11-20 00:44;1
13;Plauzius;16;2;12;12;2015-11-20 00:45;3
13;yet_another_comment;17;1;17;9999;2015-11-20 00:46;7
13;JZ;18;2;17;17;2015-11-20 00:47;7
13;Karl Hungus;19;1;19;9999;2015-11-20 00:48;7
13;MaKiLu;20;2;19;19;2015-11-20 00:49;1
13;Karl Hungus;21;3;20;20;2015-11-20 00:50;0
13;Au-weia;22;3;20;20;2015-11-20 00:51;1
13;Johann;23;1;23;9999;2015-11-20 00:52;7
13;Paul;24;2;23;23;2015-11-20 00:53;3
13;Klaus Sommer;25;1;25;9999;2015-11-20 00:54;14
13;margit weser;26;1;26;9999;2015-11-20 00:55;7
13;Mulla;27;1;27;9999;2015-11-20 00:56;14
13;ToBi;28;1;28;9999;2015-11-20 00:57;7
13;enios;29;1;29;9999;2015-11-20 00:58;7
13;Frank in ZA;30;2;29;29;2015-11-20 00:59;3
13;Aufspiesser;31;3;30;30;2015-11-20 01:00;3
13;NomoreMerkel;32;4;31;31;2015-11-20 01:01;1
13;Hellmut Wilde;33;3;30;30;2015-11-20 01:02;10
13;Aina;34;1;34;9999;2015-11-20 01:03;7
13;Woanders gefunden;35;1;35;9999;2015-11-20 01:04;14
13;Albert Pike;36;2;35;35;2015-11-20 01:05;3
13;Felix Wirsch;37;1;37;9999;2015-11-20 01:06;14
13;Ditta Berger;38;1;38;9999;2015-11-20 01:07;7
13;Vanbroudarp;39;2;38;38;2015-11-20 01:08;10
13;Guest;40;1;40;9999;2015-11-20 01:09;7
13;ClaudiaB;41;2;40;40;2015-11-20 01:10;7
13;Mailmann;42;1;42;9999;2015-11-20 01:11;7
13;CG;43;1;43;9999;2015-11-20 01:12;7
13;Problembär;44;1;44;9999;2015-11-20 01:13;14
13;Paul;45;2;44;44;2015-11-20 01:14;7
13;DiSo;46;1;46;9999;2015-11-20 01:15;7
13;Tyrande;47;2;46;46;2015-11-20 01:16;1
13;Ronja18;48;1;48;9999;2015-11-20 01:17;0
13;links_rechts;49;1;49;9999;2015-11-20 01:18;7
13;Walter Hoffmann;50;1;50;9999;2015-11-20 01:19;7
13;Es reicht!;51;1;51;9999;2015-11-20 01:20;14
13;The Boss;52;1;52;9999;2015-11-20 01:21;0
13;K_Putt;53;1;53;9999;2015-11-20 01:22;7
13;Wolfgang Heubach;54;1;54;9999;2015-11-20 01:23;7
13;Es reicht!;55;2;54;54;2015-11-20 01:24;7
13;Es reicht!;56;2;54;54;2015-11-20 01:25;7
13;Rev. Tim Tom;57;1;57;9999;2015-11-20 01:26;14
13;MaKiLu;58;1;58;9999;2015-11-20 01:27;14
13;hubert;59;1;59;9999;2015-11-20 01:28;7
13;Albert Werner;60;1;60;9999;2015-11-20 01:29;7
13;Plauzius;61;1;61;9999;2015-11-20 01:30;7
13;Kassandros;62;2;61;61;2015-11-20 01:31;10
13;Rosa;63;1;63;9999;2015-11-20 01:32;0
13;benedikt_kaulquap;64;1;64;9999;2015-11-20 01:33;14
13;Sergio Fresquet;65;1;65;9999;2015-11-20 01:34;7
13;Trotzkopf;66;2;65;65;2015-11-20 01:35;7
13;Bösewicht;67;1;67;9999;2015-11-20 01:36;7
13;Hellmut;68;1;68;9999;2015-11-20 01:37;14
13;Helmut G. Nr.2;69;1;69;9999;2015-11-20 01:38;7
13;SI;70;1;70;9999;2015-11-20 01:39;7
13;bayern-express;71;1;71;9999;2015-11-20 01:40;7
